# CUDA_PROFILE_LOG_VERSION 1.6
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff72f63c73648
# CUDA_DEVICE 0 Quadro FX 1700M
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,memTransferSize,sm_cta_launched,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,tlb_hit,tlb_miss
11a8dab617582d80,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6ENS_10device_ptrIfEES7_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISB_E4typeET3_,1808.99,1985,0.333,8,1,128,1,1,0,3664,27,0,,2,58214,688,398977,213776,4,4,65664,6,262660,0,65664,7,128
11a8dab617765440,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6EPfS6_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISA_E4typeET3_,20.384,49,0.167,1,1,128,1,1,0,3664,27,0,,1,260,5,1174,2,1,1,1,2,4,0,1,0,0
11a8dab617788580,_ZN6thrust6detail6device4cuda6detail9fast_scan16inclusive_updateILj256ENS_10device_ptrIfEEfNS_4plusIfEEEEvT0_jjPT1_T2_,996.416,1024,1,8,1,256,1,1,0,48,6,0,,2,32674,2,163340,0,4,768,49248,0,196992,0,49248,111,0
11a8dab6178e2f60,_Z18floor_array_kernelPf,995.936,1023,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233502,0,4096,0,65536,0,262144,0,65536,89,165
11a8dab6179fa220,_Z19copy_indexes_kernel9particlesS_,7211.58,7240,1,8192,1,256,1,1,0,112,5,0,,2048,216498,66087,927129,0,4096,1048575,65536,2075224,16756,0,65536,375,137
11a8dab618143860,_ZN6thrust6detail6device4cuda6detail23launch_closure_by_valueINS2_18for_each_n_closureINS_12zip_iteratorINS_5tupleINS_20permutation_iteratorINS6_INS7_INS_10device_ptrIfEESA_SA_SA_NS_9null_typeESB_SB_SB_SB_SB_EEEESA_EESD_SB_SB_SB_SB_SB_SB_SB_SB_EEEEjNS1_7generic6detail23unary_transform_functorINS_8identityINS7_IffffSB_SB_SB_SB_SB_SB_EEEEEEEEEEvT_,15618.1,15646,0.75,12,1,192,1,1,0,96,13,0,,3,245811,3,1130658,0,6,4194560,65540,0,1048640,0,65540,138212,1031
11a8dab619094d20,_Z27perturb_particles_v3_kernelPf9particles,7275.1,7515,0.667,8192,1,256,1,1,0,80,12,0,,2048,67584,2048,2527280,0,4096,0,327680,0,1310720,0,327680,738,796
11a8dab6197ff500,_Z17init_array_kernelPff,643.2,1011,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,217119,0,4096,0,0,0,262144,0,0,95,159
11a8dab6199141a0,_Z18time_update_kernel9particlesff,4924.03,5309,0.667,8192,1,256,1,1,0,80,13,0,,2048,182272,2048,1527847,0,4096,0,327680,0,786432,0,327680,546,732
11a8dab619e27f60,_Z32apply_azimuth_observation_kernel9particles11observation,4188.93,4377,1,8192,1,256,1,1,0,96,7,0,,2048,198656,2048,1757236,0,4096,0,196608,0,262144,0,196608,337,429
11a8dab61a2be820,memcpyHtoD,4.608,2,,,,,,,,,,0,4
11a8dab61a2c14c0,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemINS_10device_ptrIfEEfNS_4plusIfEEEEvT_jPT0_T1_,387.936,563,1,8,1,384,1,1,1536,48,10,0,,2,17594,4,118234,0,4,0,65544,8,0,0,65544,106,152
11a8dab61a396ba0,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemIPffNS_4plusIfEEEEvT_jPT0_T1_,7.968,419,0.042,1,1,32,1,1,128,48,10,0,,1,48,3,121,0,1,0,1,0,4,0,1,0,0
11a8dab61a41d3c0,memcpyDtoH,5.536,495,,,,,,,,,,0,4
11a8dab61a4a7480,_Z15multiply_kernelPff,1003.1,1242,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233494,0,4096,0,65536,0,262144,0,65536,97,157
11a8dab61a63e0c0,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6ENS_10device_ptrIfEES7_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISB_E4typeET3_,1801.89,2047,0.333,8,1,128,1,1,0,3664,27,0,,2,58214,688,398974,234958,4,4,65408,8,261632,0,65408,8,127
11a8dab61a87e040,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6EPfS6_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISA_E4typeET3_,20.416,464,0.167,1,1,128,1,1,0,3664,27,0,,1,260,5,1172,2,1,1,1,0,0,0,0,0,0
11a8dab61a90a300,_ZN6thrust6detail6device4cuda6detail9fast_scan16inclusive_updateILj256ENS_10device_ptrIfEEfNS_4plusIfEEEEvT0_jjPT1_T2_,995.36,1424,1,8,1,256,1,1,0,48,6,0,,2,16506,2,82403,0,4,1024,65408,0,196992,0,49248,6,112
11a8dab61aab6f20,_Z18floor_array_kernelPf,996.544,1237,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233503,0,4096,0,65536,0,262144,0,65536,92,162
11a8dab61ac326e0,_Z19copy_indexes_kernel9particlesS_,7056.77,7412,1,8192,1,256,1,1,0,112,5,0,,2048,212112,69218,913884,0,4096,1048575,65536,2092074,14500,0,65536,233,277
11a8dab61b3a19c0,_ZN6thrust6detail6device4cuda6detail23launch_closure_by_valueINS2_18for_each_n_closureINS_12zip_iteratorINS_5tupleINS_20permutation_iteratorINS6_INS7_INS_10device_ptrIfEESA_SA_SA_NS_9null_typeESB_SB_SB_SB_SB_EEEESA_EESD_SB_SB_SB_SB_SB_SB_SB_SB_EEEEjNS1_7generic6detail23unary_transform_functorINS_8identityINS7_IffffSB_SB_SB_SB_SB_SB_EEEEEEEEEEvT_,15594.8,15840,0.75,12,1,192,1,1,0,96,13,0,,3,245901,3,1131066,0,6,4194560,65540,0,1048640,0,65540,133479,1156
11a8dab61c308020,_Z27perturb_particles_v3_kernelPf9particles,7281.5,7642,0.667,8192,1,256,1,1,0,80,12,0,,2048,67584,2048,2527281,0,4096,0,327680,0,1310720,0,327680,736,798
11a8dab61ca81f00,_Z17init_array_kernelPff,643.232,1002,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,217120,0,4096,0,0,0,262144,0,0,95,159
11a8dab61cba6cc0,_Z18time_update_kernel9particlesff,4837.98,5185,0.667,8192,1,256,1,1,0,80,13,0,,2048,182272,2048,1527846,0,4096,0,327680,0,786432,0,327680,567,711
11a8dab61d0cc000,_Z32apply_azimuth_observation_kernel9particles11observation,4183.55,4515,1,8192,1,256,1,1,0,96,7,0,,2048,198656,2048,1757239,0,4096,0,196608,0,262144,0,196608,325,441
11a8dab61d5c7180,memcpyHtoD,8.384,3,,,,,,,,,,0,4
11a8dab61d5ccb20,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemINS_10device_ptrIfEEfNS_4plusIfEEEEvT_jPT0_T1_,393.984,580,1,8,1,384,1,1,1536,48,10,0,,2,17594,4,118234,0,4,0,65544,8,0,0,65544,93,165
11a8dab61d64f800,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemIPffNS_4plusIfEEEEvT_jPT0_T1_,13.92,42,0.042,1,1,32,1,1,128,48,10,0,,1,48,3,122,0,1,0,1,0,4,0,1,0,0
11a8dab61d678800,memcpyDtoH,4.768,30,,,,,,,,,,0,4
11a8dab61d6d61e0,_Z15multiply_kernelPff,1001.34,1028,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233493,0,4096,0,65536,0,262144,0,65536,95,159
11a8dab61d859640,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6ENS_10device_ptrIfEES7_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISB_E4typeET3_,1765.38,1793,0.333,8,1,128,1,1,0,3664,27,0,,2,57929,683,397219,233268,4,4,65664,6,262660,0,65664,8,127
11a8dab61da32c00,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6EPfS6_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISA_E4typeET3_,20.768,48,0.167,1,1,128,1,1,0,3664,27,0,,0,0,0,0,2,1,1,1,2,4,0,1,0,0
11a8dab61da54000,_ZN6thrust6detail6device4cuda6detail9fast_scan16inclusive_updateILj256ENS_10device_ptrIfEEfNS_4plusIfEEEEvT0_jjPT1_T2_,1002.85,1032,1,8,1,256,1,1,0,48,6,0,,2,32930,2,164619,0,4,768,49248,0,196992,0,49248,111,0
11a8dab61dba0460,_Z18floor_array_kernelPf,1005.95,1033,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233502,0,4096,0,65536,0,262144,0,65536,89,165
11a8dab61dcc4a00,_Z19copy_indexes_kernel9particlesS_,6887.01,6915,1,8192,1,256,1,1,0,112,5,0,,2048,199526,66255,864166,0,4096,1048575,65536,2093982,15132,0,65536,240,270
