# CUDA_PROFILE_LOG_VERSION 1.6
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff72ff3b809b8
# CUDA_DEVICE 0 Quadro FX 1700M
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,memTransferSize,sm_cta_launched,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,tlb_hit,tlb_miss
11a888a9a0476d60,_Z21copy_particles_kernel9particlesS_,59559.4,59736,0.333,8192,1,256,1,1,0,112,22,0,,2048,215433,64553,12795680,0,4096,1048575,1518706,12473328,1250548,0,1498971,12853,1633
11a888a9a3da25a0,_Z18time_update_kernel9particlesff,4848.83,5032,0.667,8192,1,256,1,1,0,80,13,0,,2048,182272,2048,1527846,0,4096,0,327680,0,786432,0,327680,568,710
11a888a9a429c5e0,_Z32apply_azimuth_observation_kernel9particles11observation,4198.75,4371,1,8192,1,256,1,1,0,96,7,0,,2048,198656,2048,1757234,0,4096,0,196608,0,262144,0,196608,342,424
11a888a9a4765de0,memcpyHtoD,11.136,3,,,,,,,,,,0,4
11a888a9a476c220,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemINS_10device_ptrIfEEfNS_4plusIfEEEEvT_jPT0_T1_,393.888,586,1,8,1,384,1,1,1536,48,10,0,,2,17594,4,118234,0,4,0,65544,8,0,0,65544,99,159
11a888a9a4827380,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemIPffNS_4plusIfEEEEvT_jPT0_T1_,14.912,193,0.042,1,1,32,1,1,128,48,10,0,,1,48,3,121,0,1,0,1,0,4,0,1,0,0
11a888a9a4882ae0,memcpyDtoH,4.48,179,,,,,,,,,,0,4
11a888a9a490c940,_Z15multiply_kernelPff,1008.29,1179,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233494,0,4096,0,65536,0,262144,0,65536,86,168
11a888a9a4ac7240,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6ENS_10device_ptrIfEES7_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISB_E4typeET3_,1815.14,1995,0.333,8,1,128,1,1,0,3664,27,0,,2,58214,688,398982,225645,4,4,65664,6,262660,0,65664,8,127
11a888a9a4cdb560,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6EPfS6_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISA_E4typeET3_,20.96,198,0.167,1,1,128,1,1,0,3664,27,0,,1,260,5,1170,2,1,1,1,2,4,0,1,0,0
