# CUDA_PROFILE_LOG_VERSION 1.6
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff72f63de24d0
# CUDA_DEVICE 0 Quadro FX 1700M
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,memTransferSize,sm_cta_launched,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,tlb_hit,tlb_miss
11a8cfefc4e2aea0,_ZN6thrust6detail6device4cuda6detail9fast_scan16inclusive_updateILj256ENS_10device_ptrIfEEfNS_4plusIfEEEEvT0_jjPT1_T2_,1003.14,1031,1,8,1,256,1,1,0,48,6,0,,2,16506,2,82403,0,4,768,49248,0,196992,0,49248,6,112
11a8cfefc4f7b2e0,_Z18floor_array_kernelPf,1000.29,1027,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233502,0,4096,0,65536,0,262144,0,65536,91,163
11a8cfefc5099420,_Z19copy_indexes_kernel9particlesS_,7205.7,7234,1,8192,1,256,1,1,0,112,5,0,,2048,215927,66052,925828,0,4096,1048575,65536,2077174,15944,0,65536,237,273
11a8cfefc5798be0,_Z24copy_particles_v2_kernel9particlesS_i,15288.9,15318,0.667,8192,1,256,1,1,0,128,13,0,,2048,83968,2048,2691124,0,4096,4194304,131072,0,1310720,0,131072,1412,1483
11a8cfefc6652680,_Z17init_array_kernelPff,643.168,671,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,217119,0,4096,0,0,0,262144,0,0,95,159
11a8cfefc670b2c0,_Z18time_update_kernel9particlesff,4784.26,4812,0.667,8192,1,256,1,1,0,80,13,0,,2048,182272,2048,1527849,0,4096,0,327680,0,786432,0,327680,548,730
11a8cfefc6bb8760,_Z32apply_azimuth_observation_kernel9particles11observation,4197.54,4226,1,8192,1,256,1,1,0,96,7,0,,2048,198656,2048,1757240,0,4096,0,196608,0,262144,0,196608,347,419
11a8cfefc7026f00,memcpyHtoD,8.128,3,,,,,,,,,,0,4
11a8cfefc702c7c0,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemINS_10device_ptrIfEEfNS_4plusIfEEEEvT_jPT0_T1_,392.032,430,1,8,1,384,1,1,1536,48,10,0,,2,17594,4,118234,0,4,0,65544,8,0,0,65544,94,164
11a8cfefc70a93c0,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemIPffNS_4plusIfEEEEvT_jPT0_T1_,13.888,47,0.042,1,1,32,1,1,128,48,10,0,,1,48,3,122,0,1,0,1,0,4,0,1,0,0
11a8cfefc70cf520,memcpyDtoH,4.704,30,,,,,,,,,,0,4
11a8cfefc7114ce0,_Z15multiply_kernelPff,1000.77,1028,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233494,0,4096,0,65536,0,262144,0,65536,85,169
11a8cfefc72800c0,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6ENS_10device_ptrIfEES7_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISB_E4typeET3_,1811.01,1838,0.333,8,1,128,1,1,0,3664,27,0,,2,57929,683,397218,217121,4,4,65408,6,262660,0,65664,8,127
11a8cfefc7458080,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6EPfS6_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISA_E4typeET3_,20.736,49,0.167,1,1,128,1,1,0,3664,27,0,,0,0,0,0,0,0,0,0,2,4,0,1,0,0
11a8cfefc7477ce0,_ZN6thrust6detail6device4cuda6detail9fast_scan16inclusive_updateILj256ENS_10device_ptrIfEEfNS_4plusIfEEEEvT0_jjPT1_T2_,996.512,1024,1,8,1,256,1,1,0,48,6,0,,2,32930,2,164619,0,4,768,49248,0,196992,0,49248,7,112
11a8cfefc75c4bc0,_Z18floor_array_kernelPf,1001.6,1028,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233502,0,4096,0,65536,0,262144,0,65536,92,162
11a8cfefc76d7fc0,_Z19copy_indexes_kernel9particlesS_,7111.81,7139,1,8192,1,256,1,1,0,112,5,0,,2048,217563,70911,934550,0,4096,1048575,65536,2092566,15716,0,65536,373,139
11a8cfefc7dc07e0,_Z24copy_particles_v2_kernel9particlesS_i,15169.2,15198,0.667,8192,1,256,1,1,0,128,13,0,,2048,83968,2048,2691121,0,4096,4194304,131072,0,1310720,0,131072,1527,1495
11a8cfefc8c553c0,_Z17init_array_kernelPff,642.24,670,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,217120,0,4096,0,0,0,262144,0,0,95,159
11a8cfefc8d173c0,_Z18time_update_kernel9particlesff,4828.45,4863,0.667,8192,1,256,1,1,0,80,13,0,,2048,182272,2048,1527854,0,4096,0,327680,0,786432,0,327680,565,713
11a8cfefc91d03c0,_Z32apply_azimuth_observation_kernel9particles11observation,4184.58,4217,1,8192,1,256,1,1,0,96,7,0,,2048,198656,2048,1757233,0,4096,0,196608,0,262144,0,196608,336,430
11a8cfefc9665160,memcpyHtoD,8.192,2,,,,,,,,,,0,4
11a8cfefc966aa80,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemINS_10device_ptrIfEEfNS_4plusIfEEEEvT_jPT0_T1_,396.032,434,1,8,1,384,1,1,1536,48,10,0,,2,17582,4,118150,0,4,0,65544,8,0,0,65544,109,149
11a8cfefc96fa300,_ZN6thrust6detail6device4cuda6detail13reduce_n_smemIPffNS_4plusIfEEEEvT_jPT0_T1_,13.92,42,0.042,1,1,32,1,1,128,48,10,0,,0,0,0,0,0,1,0,1,0,4,0,1,0,0
11a8cfefc97aaec0,memcpyDtoH,4.704,30,,,,,,,,,,0,4
11a8cfefc97f2780,_Z15multiply_kernelPff,1006.21,1034,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233502,0,4096,0,65536,0,262144,0,65536,91,163
11a8cfefc994a6c0,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6ENS_10device_ptrIfEES7_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISB_E4typeET3_,1817.15,1844,0.333,8,1,128,1,1,0,3664,27,0,,2,58214,688,398971,233086,4,4,65408,6,262660,0,65664,8,127
11a8cfefc9b24e60,_ZN6thrust6detail6device4cuda6detail9fast_scan14scan_intervalsILj128ELj6EPfS6_NS_4plusIfEEEEvT1_jjT2_PNS_14iterator_valueISA_E4typeET3_,20.672,49,0.167,1,1,128,1,1,0,3664,27,0,,0,0,0,0,0,0,0,0,2,4,0,1,0,0
11a8cfefc9b44760,_ZN6thrust6detail6device4cuda6detail9fast_scan16inclusive_updateILj256ENS_10device_ptrIfEEfNS_4plusIfEEEEvT0_jjPT1_T2_,1001.98,1031,1,8,1,256,1,1,0,48,6,0,,2,16506,2,82403,0,4,768,49248,0,196992,0,49248,111,0
11a8cfefc9c8c1a0,_Z18floor_array_kernelPf,1000.38,1028,1,8192,1,256,1,1,0,32,2,0,,2048,67584,2048,233502,0,4096,0,65536,0,262144,0,65536,89,165
